iter	TotalF1:average=Micro	MultiClass
915	1	0.07850243849
916	1	0.07840209515
917	1	0.0783265088
918	1	0.07815503606
919	1	0.07801774513
920	1	0.07793386143
921	1	0.07788291463
922	1	0.07779240714
923	1	0.0777230394
924	1	0.07759226068
925	1	0.07740501534
926	1	0.07732099658
927	1	0.07721773478
928	1	0.077106663
929	1	0.07699252597
930	1	0.07687221143
931	1	0.07669329868
932	1	0.07655350034
933	1	0.07641169959
934	1	0.07632916061
935	1	0.07626773202
936	1	0.07614148661
937	1	0.0759943011
938	1	0.07590728754
939	1	0.07579921644
940	1	0.07568102762
941	1	0.07560503022
942	1	0.07553622033
943	1	0.07543663449
944	1	0.07529856256
945	1	0.07519800782
946	1	0.07509102894
947	1	0.07500807891
948	1	0.0748823385
949	1	0.07472404288
950	1	0.0746288729
951	1	0.07453012677
952	1	0.07437849017
953	1	0.07428477649
954	1	0.07418137962
955	1	0.07411207647
956	1	0.07396354037
957	1	0.0739192291
958	1	0.07382428814
959	1	0.07375492627
960	1	0.07365067794
961	1	0.07353630015
962	1	0.07344592184
963	1	0.07332491439
964	1	0.07317488088
965	1	0.07309657573
966	1	0.07301702567
967	1	0.07293793365
968	1	0.0728720892
969	1	0.07278901585
